step,alpha_s,exponent_inel,exponent_el,scale_inel,scale_el,pT 1.0 GeV,pT 2.0 GeV,pT 3.0 GeV,pT 4.0 GeV,pT 5.0 GeV,pT 6.0 GeV,pT 7.0 GeV,pT 8.0 GeV,pT 9.0 GeV,pT 10.0 GeV
50.0,0.12100000000000001,-1.48,-0.1200000000000001,0.253,0.15100000000000002,0.9489169893136064,0.9763441196086459,0.7489389582091547,0.6722584001469435,0.6356387298233036,0.6156377387980253,0.6039399854411285,0.5964573378374753,0.5895412470460597,0.579960044468234
50.0,0.385,0.1200000000000001,-0.6799999999999999,0.20500000000000002,0.133,0.5858609023655597,0.6996436884341225,0.09587453731239431,0.03992361833761725,0.02432163708561842,0.017979970211547017,0.014808310323381781,0.01282611171025025,0.011076018357842575,0.009144469323993121
50.0,0.259,1.96,-1.8,0.22300000000000003,0.139,0.8046511372616585,0.8687595354652297,0.4036663279657549,0.29333156573109725,0.2478714747473541,0.22499579304543563,0.2122396882874702,0.20417171812006346,0.19668419975936566,0.18662316725182082
50.0,0.193,1.1600000000000001,0.7600000000000002,0.391,0.3370000000000001,0.8836115226562392,0.9174062952688044,0.6454467080105901,0.5595905972172643,0.5199951924214259,0.4989698805855448,0.4870142696971481,0.47953265474653417,0.47246358143955475,0.46223773480176017
50.0,0.199,1.3200000000000003,-1.4,0.28300000000000003,0.21700000000000003,0.8239247399351665,0.8607798964664211,0.5688521288903499,0.4807741065034338,0.44109682846978454,0.42043993118024087,0.4089385861060992,0.40186347941953793,0.3950470372156397,0.38483749707336884
50.0,0.277,0.6000000000000001,1.56,0.30100000000000005,0.253,0.7826096889568329,0.8543775452596181,0.35092620491262455,0.24306033758498422,0.200524127198273,0.17960408922172202,0.16805745189111423,0.16074238638998614,0.1539862967766854,0.1451258671435605
50.0,0.31300000000000006,-0.28,0.9199999999999999,0.12100000000000001,0.361,0.7492832158135615,0.8431316966865583,0.2421118075928085,0.14154505668636594,0.10518956893404957,0.08799798206350021,0.07865067487936638,0.07271757386822734,0.06731999556833089,0.06055568957647992
50.0,0.20500000000000002,-1.88,1.08,0.21100000000000002,0.397,0.902311409892809,0.9661330976930466,0.4907194565078116,0.3717283814965713,0.3215289306679156,0.29578252721773673,0.28113878453197655,0.2717421325738447,0.2631910955035761,0.2521273503573549
50.0,0.15100000000000002,-0.19999999999999996,1.48,0.361,0.3490000000000001,0.9460795584573252,0.9797523570187178,0.7056505070496468,0.6170978779544498,0.5755095808972386,0.5529524500384507,0.5397708387642132,0.531304472676163,0.5235188531545909,0.5129303946623576
50.0,0.32500000000000007,0.7600000000000002,1.4,0.265,0.22300000000000003,0.6851468420105318,0.7704094739902901,0.22432893106804797,0.13451500276204167,0.10283076634623792,0.08816934166219416,0.08033401638107954,0.07538882443810395,0.0708448039820961,0.06511816930139129
50.0,0.21100000000000002,0.040000000000000036,-1.08,0.133,0.16300000000000003,0.8473392594363256,0.9008639253885007,0.4945660029883579,0.3862376323839494,0.33937812654447297,0.3151723067104242,0.3014889063097283,0.29282605491248337,0.2847693015465566,0.27373713013682655
50.0,0.18100000000000002,1.56,-0.19999999999999996,0.277,0.265,0.8673463201239865,0.8990645419680333,0.6432473859201031,0.561576958974455,0.5238386454810879,0.5038720891294829,0.49262145594272744,0.4856654707286815,0.47901149251695146,0.4690852158790762
50.0,0.361,-0.3599999999999999,-1.48,0.259,0.277,0.44577440699861043,0.5270225377403999,0.07955540450299685,0.03465583864857672,0.02183321358976115,0.016596928301886204,0.013991208731936332,0.012357093597576531,0.010859984469637797,0.009126337059386721
50.0,0.31900000000000006,1.0,0.28000000000000025,0.193,0.18700000000000003,0.6639032412042326,0.752087363942039,0.19880583426573584,0.11242611317464721,0.08238416122239553,0.06856995977815701,0.061212399942609616,0.05657251603631161,0.052309477457513784,0.04695423994470686
50.0,0.28300000000000003,-1.8,-0.52,0.397,0.29500000000000004,0.7511837132352938,0.9669538119532317,0.05400097867859391,0.01507509999824085,0.007088534503046293,0.004315177408307081,0.003033120701091033,0.002266413873242744,0.001648143681640293,0.0010575800562636082
50.0,0.391,0.28000000000000025,-0.040000000000000036,0.21700000000000003,0.259,0.5335921259101483,0.6383885640404697,0.08422876524101672,0.03351070930763405,0.01949996219397501,0.013872333781036443,0.011085058496859802,0.009339120510260954,0.007796169017390603,0.006128417736415117
50.0,0.21700000000000003,-0.040000000000000036,-0.28,0.3370000000000001,0.17500000000000002,0.8309617715785605,0.8865493871138324,0.4690888152108176,0.361591816068387,0.31595416325360987,0.2926612423296478,0.27959233122350824,0.2713275387319875,0.26363043674993386,0.2531589160755636
